HiveID,CliID,Number,Year,Season,Status,Place,Cause.of.death,DeadCnt,SuperLoc,SuperCli,MaxHive,RepCnt,Y_LOC,Wgt_Y,City,Water_Pct,NDVI_mean,Canopy_Pct,Tree_Nec,Tree_Pol,Tree_NP,Build_Pct,Hghwy_len,ArtTot_len,NO2_mean,AQI,O3,Smoke,PM25_mean,BckYrdDup_mean,BckYrd_mean,Own_mean,MedInc_mean,HvCnt_Full,Nobuild_Pct,NoTree_Pct,NDVI_0_20,NDVI_20_50,NDVI_50_100,Out_Pct,HvCnt,HvCnt_Jenks,HvCnt_log,HvCnt_log2,Status_Binary,MedInc_Qrt,MedInc_Q1,Water_Bi,Water_Pct_1,Build_Pct_1,Hghwy_len_Binary
475.1,475,1,2020,Sum,Dead,Roof,Undiagnosed,2,FALSE,FALSE,1,1,2870,0.000348432,MTL,0.021496799,0.188125225,0.208445008,1357,1828,1833,0.182673994,3053.327123,5510.68724,16.9123982,35.91,22.47,6.92,8.06294567,0.341819456,0.103854753,0.316058713,48589.73711,11,0,0,0.598484848,0.353146853,0.048368298,NA,2,<2,0.693147181,1,0,2,0,1,0.031496799,0.192673994,1
475.1,475,1,2021,Spg,Healthy,Roof,Unknown,2,FALSE,FALSE,1,2,2801,0.000357015,MTL,0.021496799,0.188125225,0.208445008,1357,1828,1833,0.182673994,3053.327123,5510.68724,16.9123982,35.91,22.47,6.92,8.06294567,0.341819456,0.103854753,0.316058713,48589.73711,11,0,0,0.598484848,0.353146853,0.048368298,NA,2,<2,0.693147181,1,1,2,0,1,0.031496799,0.192673994,1
36.1,36,1,2017,Sum,Dead,Roof,Undiagnosed,4,FALSE,FALSE,1,0,1644,0.000608273,MTL,0.217757234,0.167475982,0.155191703,4.495812277,13.48743683,13,0.167485433,0,2045.708547,12.05910418,35.91,22.47,6.87,8.037648355,0.414612754,0.139652021,0.365418566,48641.71286,10,0,0.777570784,0.626203677,0.362416107,0.011380216,NA,1,<2,0,0,0,2,0,1,0.227757234,0.177485433,0
36.1,36,1,2018,Spg,Dead,Roof,Undiagnosed,4,FALSE,FALSE,1,0,2955,0.000338409,MTL,0.217757234,0.167475982,0.155191703,4.495812277,13.48743683,13,0.167485433,0,2045.708547,12.05910418,35.91,22.47,6.87,8.037648355,0.414612754,0.139652021,0.365418566,48641.71286,10,0,0.777570784,0.626203677,0.362416107,0.011380216,NA,1,<2,0,0,0,2,0,1,0.227757234,0.177485433,0
36.1,36,1,2019,Sum,Dead,Roof,Undiagnosed,4,FALSE,FALSE,1,1,3176,0.000314861,MTL,0.217757234,0.167475982,0.155191703,4.495812277,13.48743683,13,0.167485433,0,2045.708547,12.05910418,35.91,22.47,6.87,8.037648355,0.414612754,0.139652021,0.365418566,48641.71286,10,0,0.777570784,0.626203677,0.362416107,0.011380216,NA,1,<2,0,0,0,2,0,1,0.227757234,0.177485433,0
695.1,695,1,2019,Sum,Healthy,Ground,Unknown,0,TRUE,TRUE,1,0,3176,0.000314861,MTL,0,0.183983934,0.253358114,2722,4426,4443,0.311374164,1456.590042,9131.967492,15.48022393,38.9,22.09,6.86,7.76003854,0.16777861,0.020283577,0.284548399,48663.27424,47,0,0,0.607820251,0.386343741,0.005836008,NA,10,<10,2.302585093,3.321928095,1,2,0,0,0.01,0.321374164,0
1145.1,1145,1,2022,Sum,Healthy,Ground,Unknown,0,TRUE,TRUE,2,0,2214,0.000903342,MTL,0,0.18906304,0.251928247,2976,4769,4790,0.310513052,2042.438994,8561.909818,15.60314892,38.9,22.09,6.86,7.751250833,0.159155752,0.019428848,0.28437371,48676.33842,41,0,0,0.593586006,0.395918367,0.010495627,NA,6,<10,1.791759469,2.584962501,1,2,0,0,0.01,0.320513052,0
1145.2,1145,2,2022,Sum,Healthy,Ground,Unknown,0,TRUE,TRUE,2,0,2214,0.000903342,MTL,0,0.18906304,0.251928247,2976,4769,4790,0.310513052,2042.438994,8561.909818,15.60314892,38.9,22.09,6.86,7.751250833,0.159155752,0.019428848,0.28437371,48676.33842,41,0,0,0.593586006,0.395918367,0.010495627,NA,6,<10,1.791759469,2.584962501,1,2,0,0,0.01,0.320513052,0
304.1,304,1,2018,Spg,Dead,Ground,Undiagnosed,2,FALSE,FALSE,1,0,2955,0.000338409,MTL,4.83E-05,0.242206284,0.300654339,2187.155133,2777.404023,2777,0.261446655,0,7387.932612,13.41041212,38.83,22.09,6.9,7.373034365,0.11955948,0.037316115,0.181163928,48709.29384,9,0,0.010586873,0.392253931,0.563482819,0.04426325,NA,3,<5,1.098612289,1.584962501,0,2,0,0,0.010048341,0.271446655,0
304.1,304,1,2019,Spg,Dead,Ground,Undiagnosed,2,FALSE,FALSE,1,1,3176,0.000314861,MTL,4.83E-05,0.242206284,0.300654339,2187.155133,2777.404023,2777,0.261446655,0,7387.932612,13.41041212,38.83,22.09,6.9,7.373034365,0.11955948,0.037316115,0.181163928,48709.29384,9,0,0.010586873,0.392253931,0.563482819,0.04426325,NA,1,<2,0,0,0,2,0,0,0.010048341,0.271446655,0
